,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
prob[219],0.0138850734,0.0147466068,6.86856e-05,0.0394726615,8.29641e-05,6.16421e-05,41619.3581650676,34161.4566256902,1.0000154155
prob[220],0.3321406335,0.0314985071,0.2737396416,0.3907360793,0.0001306473,9.35873e-05,56707.2933761472,37532.1498041475,1.0001645715
prob[221],0.70846341,0.0650429155,0.5834734739,0.8273436687,0.0002699388,0.0001908765,58040.6781216224,41045.5140691607,1.0000245046
prob[222],0.9372512917,0.0322582606,0.8769370427,0.9880061577,0.0001519741,0.0001074626,51466.3813699442,36940.4981297544,1.0001509648
prob[223],0.9885482272,0.011351185,0.9686029801,0.9999087403,5.89593e-05,4.16908e-05,49780.6188876481,36734.1976958049,1.0001206559
prob[224],0.7683615207,0.042476369,0.6893607767,0.8479639107,0.0001770699,0.000125208,57380.7726368884,38240.2801236993,1.0001504647
prob[225],0.9583483476,0.0258742785,0.9111665523,0.996064942,0.0001254219,8.86873e-05,50863.3700173972,36991.4739031898,1.0001389656
prob[226],0.5003097729,0.0604564211,0.3825301741,0.6086339121,0.0002983031,0.0002121105,40679.4427263609,38157.2207958385,0.999996433
prob[227],0.9230319335,0.0355338821,0.8575363629,0.9824208105,0.00016484,0.0001165602,51861.6627319027,37142.5213339736,1.0001611815
prob[228],0.4210777343,0.0269813401,0.3707011802,0.4688072678,0.0001395698,9.93464e-05,35362.2937539658,29901.8705789985,1.0000167803
prob[229],0.9660589777,0.0229463728,0.9243655714,0.9977376447,0.0001126873,7.96825e-05,50627.9489696852,36871.5399239632,1.0001381796
prob[230],0.8558761415,0.0436217573,0.7740129008,0.9346691862,0.0001917913,0.0001356177,53841.7118778924,37634.93662137,1.0001577531
prob[231],0.8882370834,0.0422680346,0.8078869605,0.9607088586,0.0002000175,0.0001414346,47624.7686774102,36067.9582615971,1.0000829597
prob[232],0.9945205901,0.0067898381,0.9832161526,0.9999975209,3.62073e-05,2.56026e-05,49427.3590206736,36667.2203375197,1.000121808
prob[233],0.9930095939,0.0080623794,0.979284926,0.9999777027,4.26631e-05,3.01676e-05,49531.904146695,36712.6739907363,1.0001217453
prob[234],0.2803575835,0.0623112956,0.1637414039,0.3964972483,0.0003363235,0.0002469609,35142.1443973463,29368.9937751698,1.0000335733
prob[235],0.6454268345,0.0289555444,0.5922256867,0.7001175045,0.0001112039,7.86334e-05,66486.6626095074,38827.7859085653,1.0000906875
prob[236],0.9475468289,0.0294029511,0.8936930213,0.9929413746,0.000140316,9.9219e-05,51173.5405477853,36871.4889880315,1.0001431747
prob[237],0.9810881967,0.0158819405,0.9524338568,0.9993986915,8.05997e-05,5.6993e-05,50111.2789398659,36688.3378053933,1.0001289453
prob[238],0.9944906935,0.0069368408,0.983005328,0.9999895056,3.7428e-05,2.64658e-05,47624.7686774102,36067.9582615971,1.0000790601
prob[239],0.9125995672,0.0375185275,0.8428004574,0.9762199655,0.0001723055,0.0001218391,52152.1435384112,37220.2020588351,1.0001662989
prob[240],0.0517783557,0.0366979332,0.0022055729,0.1183631874,0.0002048671,0.0001561395,38310.3276900782,32099.0212783866,1.0000183442
prob[241],0.4968936317,0.0183270187,0.4617653246,0.5286275025,9.02571e-05,6.38664e-05,40545.4633432818,38477.5545369435,0.9999970265
prob[242],0.9594900829,0.0260569311,0.9118907182,0.9964916391,0.0001301332,9.20187e-05,47624.7686774102,36067.9582615971,1.0000758753
prob[243],0.9685631893,0.0219080232,0.9288066475,0.9981571432,0.0001080918,7.6433e-05,50549.4536496851,36803.0139055554,1.0001352177
prob[244],0.948873601,0.0290011075,0.8959636814,0.9935566644,0.0001386459,9.80381e-05,51136.5415004138,36871.4889880315,1.0001428362
prob[245],0.0680246855,0.0457113077,0.0039012885,0.1514874063,0.0002574834,0.0001961433,36904.77131847,30956.5126560897,1.0000219416
prob[246],0.5794933577,0.0733902554,0.4404702969,0.7161480234,0.0003463325,0.0002463496,44986.0466880211,40576.4995415579,0.999979466
prob[247],0.0323266523,0.0283824675,0.0003794699,0.0836169312,0.0001619276,0.0001223433,38259.6406944747,32253.7184315624,1.0000169853
prob[248],0.1109555895,0.0603600483,0.0155571911,0.2213074304,0.0003366925,0.000255768,35939.29142051,30206.5459022573,1.0000258241
prob[249],0.3664469879,0.0890275799,0.1986387831,0.5312569658,0.0004715709,0.0003431698,35972.6692536393,31838.3592790136,1.0000203402
prob[250],0.4811452892,0.0855588769,0.3196129779,0.6407450369,0.0004323424,0.0003100995,39224.2031232839,35986.6193434178,1.0000171239
prob[251],0.9057987541,0.0412737353,0.8296046499,0.9765459615,0.000164319,0.0001161916,71265.509647358,38538.6921905486,1.0000788874
prob[252],0.1779013693,0.0753621654,0.0458950515,0.3158116003,0.0004155093,0.0003122685,35123.9727528277,29382.9936890182,1.000028572
prob[253],0.8873425667,0.0445781118,0.8037582652,0.9651917891,0.0001745394,0.0001234186,71517.8632664621,38714.4064430734,1.0000869482
prob[254],0.0414328413,0.0334490594,0.001098962,0.1025249119,0.0001900699,0.000144201,37830.6023839795,31834.2603299523,1.0000183949
prob[255],0.5991817183,0.0774766171,0.4572047997,0.7484938953,0.000360484,0.0002560487,46194.9546328359,40402.8099028072,0.9999759383
prob[256],0.8785994021,0.046859732,0.7931853566,0.9639803317,0.0001825358,0.0001290729,71556.9791313518,37885.1334184579,1.0000905305
prob[257],0.5406386693,0.0818645363,0.3870519036,0.6944122178,0.0003987997,0.0002844608,42155.4084288258,38423.196417188,0.999989381
prob[258],0.5524815387,0.0810267218,0.4025385419,0.7070346581,0.0003913837,0.0002789077,42873.8084000657,39262.188292809,0.9999865782
prob[259],0.9944906935,0.0069368408,0.983005328,0.9999895056,3.7428e-05,2.64658e-05,47624.7686774102,36067.9582615971,1.0000790601
prob[260],0.932540182,0.0343033795,0.8688675225,0.9872236856,0.0001667803,0.0001179323,47624.7686774102,36067.9582615971,1.000079042
prob[261],0.4053642434,0.0885353105,0.2353598069,0.5672175207,0.0004628541,0.0003349949,36784.5579167764,32443.9185981687,1.0000152254
prob[262],0.6917749537,0.0695784133,0.5617857955,0.8225014409,0.0002963231,0.0002095332,55150.972956058,40057.95751952,1.0000080523
prob[263],0.7193943448,0.0460408451,0.6365132731,0.8086782706,0.0001733451,0.000122574,69633.1886154786,37458.6464053311,1.0000581254
prob[264],0.2759262378,0.086428867,0.118323733,0.4372806737,0.0004682729,0.0003457667,34982.7205159138,30150.0021169062,1.0000276542
prob[265],0.9944906935,0.0069368408,0.983005328,0.9999895056,3.7428e-05,2.64658e-05,47624.7686774102,36067.9582615971,1.0000790601
prob[266],0.8021956707,0.0582211044,0.6919343799,0.9088132651,0.0002266111,0.000160239,67374.5493223411,36919.9129213889,1.0000656991
prob[267],0.3859489649,0.0231395402,0.3423386756,0.4285766526,0.0001045309,7.46462e-05,47469.8110061419,34808.6327434585,1.0001522127
prob[268],0.4225231279,0.0880729694,0.2549874371,0.5856355894,0.0004573937,0.0003303045,37227.5108732132,33222.0473445755,1.0000126952
prob[269],0.713555628,0.038776182,0.6423528338,0.7871673543,0.0001762504,0.0001246286,47624.7686774102,36067.9582615971,1.0000805036
prob[270],0.909855852,0.0395485378,0.8365853885,0.9771732491,0.0001610775,0.0001138996,68243.0606111884,38894.7713671831,1.0001046223
prob[271],0.8258422279,0.0525858447,0.7254330869,0.9208449609,0.0002029807,0.0001435296,70169.0459999141,37656.2650526417,1.0000590252
prob[272],0.8895114988,0.0436072912,0.8080065624,0.9655590495,0.0001737267,0.0001228439,69464.1117920488,38733.7291156538,1.0000695498
prob[273],0.7245750416,0.0608528946,0.609160349,0.8377103309,0.000245095,0.0001733091,62597.0579097502,40585.7779679826,1.0000676507
prob[274],0.8401030184,0.0501632914,0.7459073718,0.9321782332,0.0001913765,0.0001353242,71443.2079404662,37584.3200092855,1.0000786676
prob[275],0.5910024657,0.0684965708,0.4599003142,0.7172528139,0.00031381,0.0002218986,47831.1054478118,41412.0916077578,0.9999689021
prob[276],0.9621720347,0.024241268,0.9175518068,0.9966405246,0.0001086746,7.6845e-05,62990.3989798076,38633.9663182399,1.0001569428
prob[277],0.5760586598,0.0157654705,0.5478107817,0.6063030194,7.11191e-05,5.02891e-05,47624.7686774102,36067.9582615971,1.0000785683
